ㅈtitle,author,publisher,isbn,description,image,link
뿌리깊은 중학국어 독해력 2단계 (하루 30분! 중학 국어 독해로 수능 국어를 준비하는),마더텅 편집부,마더텅,9791162726242,"〈책의 특장점〉

★ 독서+문학+어휘 학습을 한 권으로 완성
★ 최신 경향을 반영한 수능 신유형 문제 수록
★ LEET형, PSAT형, 고난도 유형 등 다양한 문제 유형 수록
★ 수능 문학 갈래를 총망라한 다양한 작품 수록
★ 교과서 안팎의 다양한 글감 수록
★ 공부할 내용을 미리 파악하고 학습 계획을 세울 수 있는... ",https://bookthumb-phinf.pstatic.net/cover/166/256/16625676.jpg,http://book.naver.com/bookdb/book_detail.php?bid=16625676
"MP3 고교영어듣기 24회 모의고사 2학년 (2021,100% 실전대비,조금 더 어려워진)",마더텅 편집부,마더텅,9791162726389,"전국 16개 시.도 교육청 공동 주관 고교영어듣기 능력 평가 및 서울시 고교영어듣기 문제를 반영한 고교 내신 영어듣기 모의고사 문제집이다. 최신 기출문제 유형을 재현하여 총 24회, 480문제를 실었고, 수능 듣기에 나오는 모든 유형을 대비할 수 있으며, 만점을 위한 고난도 문제를 수록하였다. 영국 성우... ",https://bookthumb-phinf.pstatic.net/cover/175/237/17523761.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17523761
뿌리깊은 초등국어 독해력 시작단계 (에비 초등 7세~초등 1학년 대상),마더텅 편집부,마더텅,9791162722749,"2018년 출간되자마자 많은 사랑을 받았던 뿌리깊은 초등국어 독해력 시리즈! 이번에 새롭게 출간된 &lt;뿌리깊은 초등국어 독해력 시작단계&gt;는 독해에 첫 걸음을 떼는 7세 예비 초등학생들을 위한 책입니다.
  배경지식에 도움이 되는 설명문, 실생활에서 자주 접하는 실용문, 앞으로 쓰게 될 편지나 독후감... ",https://bookthumb-phinf.pstatic.net/cover/144/426/14442628.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14442628
고교영문법 3300제,마더텅 편집부,마더텅,9791162723074,"고교영문법 3300제의 학습단계
STEP1 내신·수능대비를 위한 고교필수영문법을 알기 쉽게 설명  
STEP2 충분한 연습문제 풀이를 통해 문법 내용을 체계적으로 습득  
STEP3 고교 내신기출 변형문제+수능·학력평가·모의평가 기출문제 풀이로 실전 연습

무료제공: 
서술형 대비 WRITING 워크북... ",https://bookthumb-phinf.pstatic.net/cover/146/022/14602254.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14602254
"마더텅 고등 국어 독서 수능기출문제집 (2022 수능대비,2021)",마더텅 편집부,마더텅,9791162727126,"[특장점]
누적 판매 589만 부, 2020년 한 해 동안 79만 부가 판매된 베스트셀러 기출문제집!

첨삭 해설 대폭 강화! 최다 문항 수록! 체계적인 영역별 구성!

- 대한민국 최초! 전 지문, 모든 선지에 100% 첨삭 해설 수록
- 총 727문항, 2022학년도 예시문항 + 2010~2021학년도 12개년 수능·모의평가 기출문제 전... ",https://bookthumb-phinf.pstatic.net/cover/176/898/17689873.jpg,http://book.naver.com/bookdb/book_detail.php?bid=17689873
"마더텅 수능기출 모의고사 35회 사회·문화 (2020 수능대비,2019,고등)",마더텅 편집부,마더텅,9791162722510,시험 당일 실제 상황과 동일한 환경에서 35번 반복 연습 가능하다. 실제 시험지 모양을 그대로 재현했고 수능과 똑같은 실전용 OMR 카드와 시험장 상황을 체험할 수 있는 안내 방송 MP3 제공한다.,https://bookthumb-phinf.pstatic.net/cover/143/854/14385404.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14385404
초등영문법 777 3 (나의 첫 문법 파트너),마더텅 편집부,마더텅,9791162723135,"초등 영어 교과서, 학교 시험 완벽 분석 반영 초등 영문법 문제집

● 2018년부터 적용되는 개정 교과서의 단어와 표현 완벽 반영
● 문법 개념을 귀여운 삽화와 함께 아이들 눈높이에서 쉽게 설명
● 실제로 사용할 수 있는 일상회화에 유용한 문장으로 연습문제 구성
● 다양한 유형의 풍부한 연습문제로... ",https://bookthumb-phinf.pstatic.net/cover/147/423/14742368.jpg,http://book.naver.com/bookdb/book_detail.php?bid=14742368
마더텅 전국연합 학력평가 기출 모의고사 3개년 12회 고1 영어 영역 (2022),마더텅 편집부,마더텅,9791162729298,"1. 2018년 11월~2021년 9월 최신 3개년 전국연합 학력평가 12회 전 문항 (540문항) 수록2. 전국연합 학력평가 및 중간·기말고사 대비를 위한 모의고사 형태의 문제집3. [특별 무료 제공] ① 각 회차별 딕테이션 테스트(총 12회)② 각 회차별 WORD BOOK 부록(WORD LIST+WORD TEST) ③ 듣기 중요 문항, 독해... ",https://bookthumb-phinf.pstatic.net/cover/213/070/21307052.jpg,http://book.naver.com/bookdb/book_detail.php?bid=21307052
1등급 어휘력 (고교 내신 수능 국어),마더텅 편집부,마더텅,9791162723692,"&lt;책의 특장점&gt; ★ 기존 어휘 어법 문제집과 비교를 거부하는 총 3,751개의 어휘 수록! ★ 총 3,751개의 어휘를 의미와 관계에 따라 체계적·입체적으로 분류! ★ 756개의 문제와 2,443개의 예문을 통해 어휘 완전 이해! ★ 문제 바로 뒷장에 정답과 해설이 수록되는 과학적이고 효율적인 구성! ★ 내신 국어... ",https://bookthumb-phinf.pstatic.net/cover/150/541/15054132.jpg,http://book.naver.com/bookdb/book_detail.php?bid=15054132
"중학영문법 3800제 1학년 (2022,새 교과서에 맞춘 12차 개정판)",마더텅 편집부,마더텅,9791162728659,"필수 문법사항 암기표, 열공 진도표 제공 8. 무료제공: * 영단어·표현 암기장* 단어장 MP3 파일* 모든 영어 예문에 대한 우리말 해석자료 홈페이지 제공 9. EBS 중학프리미엄 최고 인기 교재, 본사 직강 마더텅 중학영문법 3800제 동영상 강의 제공",https://bookthumb-phinf.pstatic.net/cover/209/415/20941539.jpg,http://book.naver.com/bookdb/book_detail.php?bid=20941539
