title,author,publisher,isbn,description,image,link
탐험 이야기 33가지 2,차윤선,을파소(북이십일),9788950917333,"『탐험 이야기 33가지』은  흥미진진한 탐험 이야기 속에는 사람들이 왜 탐험을 떠났는지, 탐험을 하면서 무엇을 얻고 무엇을 잃었는지에 대한 이야기가 나옵니다. 역사의 큰 걸음을 내딛은 사람들의 이야기를 읽다 보면, 숨겨진 역사의 조각들을 퍼즐 맞추듯 새롭게 알아가게 될 것입니다. 또 오늘날 지구촌... ",https://bookthumb-phinf.pstatic.net/cover/054/391/05439198.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5439198
삼국의 거상 (한.중.일 아시아의 상인들 유럽을 넘어 세계를 장악하다),블루앤트리(주) 제작기획팀,21세기북스(북이십일),9788950925642,삼국의 거상들에게 비즈니스 성공 법칙을 배우다!삼아시아 삼국의 거상에게 배우는 비즈니스의 기본『삼국의 거상』. 유럽을 넘어 세게 경제를 장악한 한ㆍ중ㆍ일 삼국의 상인들이 보여준 비즈니스 기법을 현대에 맞게 재해석하여 화제를 불러일으켰던 EBS 다큐스페셜 방영작 &lt;삼국의 거상&gt;을 책으로 만날... ,https://bookthumb-phinf.pstatic.net/cover/063/321/06332174.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6332174
"초등교과서 단어의 비밀 초단비 3~4학년 세트 (초등 어휘력 완성 프로그램 초단비, 전4권)",아울북 초등교육연구소,북이십일아울북,9788950921293,"『초등교과서 단어의 비밀 초단비 3단계1,2 + 4단계 1,2 세트(전4권)』. 초등 3~4학년 어휘력을 초등 교과서에 자주 등장하는 어휘소를 확장하고, 의미를 이해하여 교과 공부를 쉽게 이해할 수 있습니다. 교과서에 나오는 한자어 12,800여 개를 바탕으로 교과서에 자주 나오는 단어를 선별하고, 학년별 주요... ",https://bookthumb-phinf.pstatic.net/cover/061/892/06189259.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6189259
슈페사르트 산장,빌헬름 하우프,을파소(북이십일),9788950916688,"근대 동화의 아버지 빌헬름 하우프가 들려주는
슈페사르트 숲 속의 밤을 수놓는 환상적인 이야기들
&lt;을파소 레인보우 북클럽&gt; 제5권 Blue Book 『슈페사르트 산장』. 백작 부인에게 드릴 금목걸이를 지니고 슈페사르트 숲을 지나던 금세공사 소년 펠릭스는 도적을 피하기 위해 근처... ",https://bookthumb-phinf.pstatic.net/cover/052/802/05280254.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5280254
TOEIC LC 모질게 받아쓰기,짐 리,북이십일아울북,9788950908225,"TOEIC 모질게 시리즈 『TOEIC LC 모질게 받아쓰기』. 이 책은 토익 LC 학습이 처음이거나, 영어 듣기가 취약한 학습자 또는 RC에 비해 LC 점수가 현저히 낮은 학습자를 대상으로 한 듣기 학습서로, 총 30일 분량으로 하루 15분만 학습하면 LC 실력을 반드시 키울 수 있도록 구성하였다.이 책에서는... ",https://bookthumb-phinf.pstatic.net/cover/020/831/02083176.jpg,http://book.naver.com/bookdb/book_detail.php?bid=2083176
알렉산드리아의 족장,빌헬름 하우프,을파소(북이십일),9788950917401,"웃음과 감동이 살아 숨 쉬는
알렉산드리아 족장 알리 바누의 연회에 초대합니다!
&lt;을파소 레인보우 북클럽&gt; 제9권 Blue Book 『알렉산드리아의 족장』. 이 책은 근대 동화의 아버지라 불리는 빌헬름 하우프가 들려주는 환상동화입니다. 이슬람과 유럽의 독특한 문화를 배경으로 펼쳐지는 눈물과 웃음, 재치와... ",https://bookthumb-phinf.pstatic.net/cover/059/078/05907885.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5907885
아이리스와 마법의 신화책,세라 데밍,을파소(북이십일),9788950920654,"도시 곳곳에 숨어 있는 신들을 찾아라!
21세기 도시에서 펼쳐지는 색다른 그리스 신화

&lt;을파소 레인보우 북클럽&gt; 제15권 VIOLET BOOK 『아이리스와 마법의 신화책』. 공상을 좋아하는 소녀 아이리스가 현대를 살아가는 그리스 신들을 만나면서 일어나는 흥미진진한 모험 이야기입니다. 아무도... ",https://bookthumb-phinf.pstatic.net/cover/060/919/06091961.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6091961
미생물 이야기 33가지 1,황신영,을파소(북이십일),9788950917326,"『미생물 이야기 33가지』은 인간과 더불어 사는 미생물에 관한 이야기들을 다루고 있습니다. 이 책에 소개된 다채로운 미생물들의 능력을 읽다 보면 그 신기함에 혀를 내두르게 될 것입니다. 이 책을 통해 어린이들이 미래 문명의 작은 주역으로 떠오를 미생물에 대해 관심을 가져, 미래의 과학자로 자라날 수... ",https://bookthumb-phinf.pstatic.net/cover/054/391/05439197.jpg,http://book.naver.com/bookdb/book_detail.php?bid=5439197
마법천자문 카드 (6-10번),아울북 편집부,북이십일아울북,9788950910730,"베스트셀러「마법천자문(6~10권)」에 수록됐던 마법천자문 카드를 패키지로 구성한 제품입니다. 카드 한 면에는 한자 한 자가 소개되어 있으며, 다른 한 면에는 한자에 대한 자세한 설명과 함께「마법천자문」시리즈에서의 한자 활용법을 일러주고 있습니다. 수납하기 좋도록, 카드 박스에 담겨 있습니다.... ",https://bookthumb-phinf.pstatic.net/cover/028/848/02884812.jpg,http://book.naver.com/bookdb/book_detail.php?bid=2884812
"별을 계산하는 남자 (소설 아리스타르코스, 신의 권위에 도전한 천재 과학자의 이야기)",토마스 뷔르케,21세기북스(북이십일),9788950932985,최초로 지동설을 주장한 천재 과학자!신의 권위에 도전한 천재 과학자의 이야기를 들려주는 팩션 『별을 계산하는 남자』. 천문학 박사이자 과학전문작가인 토마스 뷔르케가 고대 그리스의 전통적인 사상에 맞서 진리를 증명하려 했던 과학자 아리스타르코스의 이야기를 역사적인 사실을 바탕으로... ,https://bookthumb-phinf.pstatic.net/cover/067/520/06752074.jpg,http://book.naver.com/bookdb/book_detail.php?bid=6752074
